time ./waf --run "tor-example --use-nsc=false" | tee tor-example.txt

Waf: Entering directory `/home/ns3nsc/nstor/build'
Waf: Leaving directory `/home/ns3nsc/nstor/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.068s)
4.28 373500 148902 547800 316230 622500 396906 
4.29 373500 148902 547800 316230 622500 396906 
4.3 373500 148902 547800 316230 622500 396906 
4.31 373500 148902 547800 316230 622500 396906 
4.32 373500 148902 547800 316230 622500 396906 
4.33 373500 154878 547800 322206 622500 409356 
4.34 373500 154878 547800 322206 622500 409356 
4.35 373500 154878 547800 322206 622500 409356 
4.36 373500 154878 547800 322206 622500 409356 
4.37 373500 154878 547800 322206 622500 409356 
4.38 373500 154878 547800 322206 622500 409356 
4.39 373500 154878 547800 322206 622500 409356 
4.4 373500 154878 547800 322206 622500 409356 
4.41 398400 154878 547800 322206 647400 409356 
4.42 398400 154878 547800 322206 647400 409356 
4.43 398400 160854 547800 327684 647400 421308 
4.44 398400 160854 547800 327684 647400 421308 
4.45 398400 160854 547800 327684 647400 421308 
4.46 398400 160854 547800 327684 647400 421308 
4.47 398400 160854 547800 327684 647400 421308 
4.48 398400 160854 547800 327684 647400 421308 
4.49 398400 160854 547800 327684 647400 421308 
4.5 398400 160854 547800 327684 647400 421308 
4.51 398400 160854 572700 327684 647400 421308 
4.52 398400 160854 572700 327684 647400 421308 
4.53 398400 166332 572700 333162 647400 434256 
4.54 398400 166332 572700 333162 647400 434256 
4.55 398400 166332 572700 333162 647400 434256 
4.56 398400 166332 572700 333162 647400 434256 
4.57 398400 166332 572700 333162 647400 434256 
4.58 398400 166332 572700 333162 647400 434256 
4.59 398400 166332 572700 333162 647400 434256 
4.6 398400 166332 572700 333162 647400 434256 
4.61 398400 166332 572700 333162 672300 434256 
4.62 398400 166332 572700 333162 672300 434256 
4.63 398400 171810 572700 339138 672300 446706 
4.64 398400 171810 572700 339138 672300 446706 
4.65 398400 171810 572700 339138 672300 446706 
4.66 398400 171810 572700 339138 672300 446706 
4.67 398400 171810 572700 339138 672300 446706 
4.68 398400 171810 572700 339138 672300 446706 
4.69 398400 171810 572700 339138 672300 446706 
4.7 398400 171810 572700 339138 672300 446706 
4.71 398400 171810 572700 339138 672300 446706 
4.72 398400 171810 572700 339138 672300 446706 
4.73 398400 177786 572700 344616 672300 459156 
4.74 398400 177786 572700 344616 672300 459156 
4.75 398400 177786 572700 344616 672300 459156 
4.76 398400 177786 572700 344616 672300 459156 
4.77 398400 177786 572700 344616 672300 459156 
4.78 398400 177786 572700 344616 672300 459156 
4.79 398400 177786 572700 344616 672300 459156 
4.8 398400 177786 572700 344616 672300 459156 
4.81 423300 177786 572700 344616 697200 459156 
4.82 423300 177786 572700 344616 697200 459156 
4.83 423300 183762 572700 350592 697200 470610 
4.84 423300 183762 572700 350592 697200 470610 
4.85 423300 183762 572700 350592 697200 470610 
4.86 423300 183762 572700 350592 697200 470610 
4.87 423300 183762 572700 350592 697200 470610 
4.88 423300 183762 572700 350592 697200 470610 
4.89 423300 183762 572700 350592 697200 470610 
4.9 423300 183762 572700 350592 697200 470610 
4.91 423300 183762 597600 350592 697200 470610 
4.92 423300 183762 597600 350592 697200 470610 
4.93 423300 189240 597600 356070 697200 483558 
4.94 423300 189240 597600 356070 697200 483558 
4.95 423300 189240 597600 356070 697200 483558 
4.96 423300 189240 597600 356070 697200 483558 
4.97 423300 189240 597600 356070 697200 483558 
4.98 423300 189240 597600 356070 697200 483558 
4.99 423300 189240 597600 356070 697200 483558 
5 423300 189240 597600 356070 697200 483558 
5.01 423300 189240 597600 356070 722100 483558 
5.02 423300 189240 597600 356070 722100 483558 
5.03 423300 194718 597600 361548 722100 496506 
5.04 423300 194718 597600 361548 722100 496506 
5.05 423300 194718 597600 361548 722100 496506 
5.06 423300 194718 597600 361548 722100 496506 
5.07 423300 194718 597600 361548 722100 496506 
5.08 423300 194718 597600 361548 722100 496506 
5.09 423300 194718 597600 361548 722100 496506 
5.1 423300 194718 597600 361548 722100 496506 
5.11 423300 194718 597600 361548 722100 496506 
5.12 423300 194718 597600 361548 722100 496506 
5.13 423300 200694 597600 367524 722100 508956 
5.14 423300 200694 597600 367524 722100 508956 
5.15 423300 200694 597600 367524 722100 508956 
5.16 423300 200694 597600 367524 722100 508956 
5.17 423300 200694 597600 367524 722100 508956 
5.18 423300 200694 597600 367524 722100 508956 
5.19 423300 200694 597600 367524 722100 508956 
5.2 423300 200694 597600 367524 722100 508956 
5.21 448200 200694 597600 367524 747000 508956 
5.22 448200 200694 597600 367524 747000 508956 
5.23 448200 206172 597600 373500 747000 520908 
5.24 448200 206172 597600 373500 747000 520908 
5.25 448200 206172 597600 373500 747000 520908 
5.26 448200 206172 597600 373500 747000 520908 
5.27 448200 206172 597600 373500 747000 520908 
5.28 448200 206172 597600 373500 747000 520908 
5.29 448200 206172 597600 373500 747000 520908 
5.3 448200 206172 597600 373500 747000 520908 
5.31 448200 206172 622500 373500 747000 520908 
5.32 448200 206172 622500 373500 747000 520908 
5.33 448200 211650 622500 378978 747000 533358 
5.34 448200 211650 622500 378978 747000 533358 
5.35 448200 211650 622500 378978 747000 533358 
5.36 448200 211650 622500 378978 747000 533358 
5.37 448200 211650 622500 378978 747000 533358 
5.38 448200 211650 622500 378978 747000 533358 
5.39 448200 211650 622500 378978 747000 533358 
5.4 448200 211650 622500 378978 747000 533358 
5.41 448200 211650 622500 378978 771900 533358 
5.42 448200 211650 622500 378978 771900 533358 
5.43 448200 217626 622500 384456 771900 545808 
5.44 448200 217626 622500 384456 771900 545808 
5.45 448200 217626 622500 384456 771900 545808 
5.46 448200 217626 622500 384456 771900 545808 
5.47 448200 217626 622500 384456 771900 545808 
5.48 448200 217626 622500 384456 771900 545808 
5.49 448200 217626 622500 384456 771900 545808 
5.5 448200 217626 622500 384456 771900 545808 
5.51 448200 217626 622500 384456 771900 545808 
5.52 448200 217626 622500 384456 771900 545808 
5.53 448200 223104 622500 390432 771900 558756 
5.54 448200 223104 622500 390432 771900 558756 
5.55 448200 223104 622500 390432 771900 558756 
5.56 448200 223104 622500 390432 771900 558756 
5.57 448200 223104 622500 390432 771900 558756 
5.58 448200 223104 622500 390432 771900 558756 
5.59 448200 223104 622500 390432 771900 558756 
5.6 448200 223104 622500 390432 771900 558756 
5.61 448200 223104 622500 390432 796800 558756 
5.62 448200 223104 622500 390432 796800 558756 
5.63 448200 229080 622500 396408 796800 570708 
5.64 448200 229080 622500 396408 796800 570708 
5.65 448200 229080 622500 396408 796800 570708 
5.66 448200 229080 622500 396408 796800 570708 
5.67 448200 229080 622500 396408 796800 570708 
5.68 448200 229080 622500 396408 796800 570708 
5.69 448200 229080 622500 396408 796800 570708 
5.7 448200 229080 622500 396408 796800 570708 
5.71 473100 229080 622500 396408 796800 570708 
5.72 473100 229080 622500 396408 796800 570708 
5.73 473100 234558 622500 401886 796800 583656 
5.74 473100 234558 622500 401886 796800 583656 
5.75 473100 234558 622500 401886 796800 583656 
5.76 473100 234558 622500 401886 796800 583656 
5.77 473100 234558 622500 401886 796800 583656 
5.78 473100 234558 622500 401886 796800 583656 
5.79 473100 234558 622500 401886 796800 583656 
5.8 473100 234558 622500 401886 796800 583656 
5.81 473100 234558 647400 401886 821700 583656 
5.82 473100 234558 647400 401886 821700 583656 
5.83 473100 240534 647400 407364 821700 595608 
5.84 473100 240534 647400 407364 821700 595608 
5.85 473100 240534 647400 407364 821700 595608 
5.86 473100 240534 647400 407364 821700 595608 
5.87 473100 240534 647400 407364 821700 595608 
5.88 473100 240534 647400 407364 821700 595608 
